Year,Observations,ELM,EM,MLR,Model1,Model2,Model3,Model4,Model5,Model6,Model7
1982.00000,1732.39400,1702.12457, 951.24737,1826.97066,1209.43900, 907.94240, 923.07180, 949.61070, 930.57790, 508.66280,1229.42700
1983.00000,1764.47800,1703.16693,1018.23317,1734.71772,1274.91200, 937.84880, 971.20030,1022.04300,1003.63600, 552.40710,1365.58500
1984.00000,2034.94200,1773.41393,1024.13201,1810.74025,1293.26900, 930.05050,1032.19900, 981.47220, 976.81740, 649.88000,1305.23600
1985.00000,1536.85300,1564.22578,1060.17380,1566.40171,1227.53700, 885.68010,1050.50000,1026.77000,1018.67600, 846.90050,1365.15300
1986.00000,1726.69600,1628.04603,1012.53026,1653.43218,1154.84400, 938.10880,1041.52400,1034.03900, 953.75390, 618.65810,1346.78400
1987.00000,2144.70900,1678.44181,1056.05530,1674.92059,1290.16100, 996.59830,1051.78000,1067.38400, 999.25870, 669.15710,1318.04800
1988.00000,1876.20200,1567.76830,1098.35776,1586.49893,1351.35200, 938.69820,1070.44800,1018.34500,1122.07800, 814.21010,1373.37300
1989.00000,1520.62400,1702.41867,1026.87960,1645.93843,1209.54700, 959.61040,1034.42900,1008.38500,1008.22200, 748.68180,1219.28200
1990.00000,1598.39900,1604.06637, 992.61160,1738.03364,1241.55200, 908.46280, 947.87540, 958.73920, 989.81480, 635.87100,1265.96600
1991.00000,1828.86200,1777.54801,1037.03180,1789.00262,1250.42200,1030.77500,1046.50800, 968.20740, 991.86170, 705.53050,1265.91800
1992.00000,1320.68900,1725.46210,1011.14580,1848.03844,1200.02300, 950.64110, 998.84410, 990.91700, 975.50040, 560.88100,1401.21400
1993.00000,1941.60600,1672.54378,1007.91823,1872.62282,1267.50300,1002.44100, 987.17710,1006.03000, 909.93540, 539.02510,1343.31600
1994.00000,1232.74700,1726.65385,1076.16746,1644.80185,1266.36800, 966.14560,1072.84900,1071.98800,1044.44700, 806.46060,1304.91400
1995.00000,1775.96400,1721.83136,1107.17970,1743.91909,1297.20100,1029.05200,1143.34300,1062.67300,1024.50800, 798.22490,1395.25600
1996.00000,1541.04200,1850.42772,1067.31934,1860.13940,1278.50700,1019.75400,1091.25400,1012.98400,1000.16600, 716.04440,1352.52600
1997.00000,1775.84100,1648.44134,1047.91944,1660.65246,1235.56900,1054.33200,1050.67500,1063.37700,1049.29600, 585.97710,1296.21000
1998.00000,1840.30500,1545.37840,1065.88787,1441.51449,1282.83100, 889.40700, 998.17990, 977.87010,1070.48200, 837.50410,1404.94100
1999.00000,1861.11300,1422.48826,1019.65141,1498.57993,1220.38000, 857.13640,1011.22900, 992.72320,1005.72200, 846.51530,1203.85400
2000.00000,1560.11300,1783.96785, 987.75019,1757.32588,1193.57600, 915.92240,1018.48000, 993.22720, 951.45790, 670.68980,1170.89800
2001.00000,1602.09400,1671.04591,1022.82356,1712.70481,1219.67000, 966.17790,1016.94800, 969.12150, 990.41100, 731.57050,1265.86600
2002.00000,1833.58600,1435.81897,1056.80957,1485.72052,1255.91500, 996.72430, 999.37840,1060.74300,1016.72600, 791.30830,1276.87200
2003.00000,1503.71100,1497.22661,1049.32520,1560.30852,1238.26400, 917.65860,1021.12700,1047.30200,1051.10700, 749.07780,1320.74000
2004.00000,1954.16700,1679.71130, 998.13140,1749.74514,1219.23900, 898.58880,1017.75200, 983.75600, 943.69040, 641.55460,1282.33900
2005.00000,1643.12600,1470.15992,1046.50336,1656.29500,1211.57100, 927.87760,1062.70700, 990.91090, 993.40070, 809.36030,1329.69600
2006.00000,1448.50800,1766.46517,1051.75090,1715.06952,1254.69800,1032.26300,1022.86500,1019.55500, 985.03630, 814.71200,1233.12700
2007.00000,1936.36100,1553.19505,1078.02026,1568.44866,1253.42000,1084.66600,1075.72100,1050.18300, 993.62130, 846.72750,1241.80300
2008.00000,1644.78000,1630.35556,1042.87569,1516.92150,1233.16400, 924.36480, 991.69970,1014.78200, 965.50350, 905.24680,1265.36900
2009.00000,1571.85500,1626.18537,1033.84090,1620.18948,1214.62300, 957.53950,1037.50500, 977.15910,1045.78700, 798.05170,1206.22100
2010.00000,1376.76900,1548.21750,1126.38797,1671.68877,1336.79200,1050.08400,1083.75400,1090.62600,1088.87300, 846.09580,1388.49100
2011.00000,1802.33400,1780.24535,1077.22477,1566.20077,1220.86100,1049.01600,1089.49600,1031.96700,1064.43300, 770.66740,1314.13300
2012.00000,1559.09100,1667.43728,1020.67866,1646.97468,1209.87200, 940.02710,1048.64100,1030.87300, 984.00100, 809.70150,1121.63500
2013.00000,1345.95000,1801.98870,1049.16523,1829.41974,1317.58600, 958.36650,1039.99500, 998.75270,1019.15000, 777.30340,1233.00300
2014.00000,1563.42300,1671.83957,1015.93733,1619.97180,1138.09400, 996.84660,1082.90600,1025.71100,1038.39200, 694.90470,1134.70700
2015.00000,2041.23000,1755.29683,1035.55244,1833.62476,1317.32100,1011.43300,1055.37900,1013.85100, 989.38060, 640.30150,1221.20100
2016.00000,1397.28900, 989.81415,1134.81431,1613.18718,1377.42900, 990.41240,1101.68700,1116.26200,1203.68100, 861.63980,1292.58900
2017.00000,1944.87900,1497.69884,1049.12246,1592.70971,1269.56500,1004.46700,1060.27700,1012.93400,1086.48500, 743.92320,1166.20600
2018.00000,1360.64600,1567.14056,1085.72026,1654.45117,1343.74800, 964.53400,1031.26800,1041.08300,1073.50500, 923.33580,1222.56800
